Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage
"Founded in 2010, Movable Ink pioneered the application of contextual marketing to email. Movable Ink clients can use any email service provider to deliver dynamic content that changes, in real-time, according to the context of each individual customer. More than 250 innovative brands including The Wall Street Journal, eBay, Finish Line, and Saks Fifth Avenue use Movable Ink to Market in the Moment and optimize their email campaigns to drive ROI. The company is headquartered in New York City with an office in London.",,Movable-Ink,,,We help you market in the moment. ,,,"$1,300,000","Jul 13, 2011","$11,000,000","Apr 10, 2013",,,,,
,Health and Wellness,Limeade,,,,"$1,000,000","Jan  1, 2007","$3,000,000","Aug 13, 2008","$5,000,000","Nov  8, 2012",,,,,Seed
"At KnowledgeTree, we provide tools to marketers that profoundly improve the interactions customers have with B2B sales teams, and ensure every conversation brings value to the relationship. Marketing teams can now enable sales teams with the right content, at the right time, in the right place, and importantly, relevant to a rep's sales campaign:- Arm sales teams with winning sales content;- Control the message that sales teams take to market;- Understand what content is winning at the bottom of the funnel.We use a combination of sales & marketing data, and predictive analytics, to provide recommendations to sales teams, and… · More assist marketers with creating and managing high-performing content.KnowledgeTree is taking advantage of significant shifts in buyer behavior and sales team structure seen in the last 5 years.",SaaS,KnowledgeTree,"$671,051","Jan 28, 2014",Content Marketing for the Sales Funnel,,,"$2,200,000","May  9, 2009","$4,750,000","Jul  9, 2012",,,,,
,Biotechnology,Velomedix,,,,,,"$3,500,000","Nov 11, 2009","$10,200,000","Feb  8, 2012",,,,,Series B
,Web Development,Silverrail-Technologies,"$5,000,000","Apr 15, 2011",,,,"$9,500,000","Jan  1, 1000","$15,000,000","Mar 21, 2012","$40,000,000","Apr 14, 2014",,,-
"Intercom is a fundamentally new way for internet businesses to communicate with customers, personally, at scale. It's a customer communication platform with a suite of integrated products for every team—including sales, marketing, product, and support. Our products enable targeted communication with customers on your website, inside your web and mobile apps, and by email.This contrasts with the old way where a business uses a tangle of point solutions, like marketing automation or helpdesk products, with every team operating in a silo. This makes it hard for teams to work together and be on the same page, resulting in a disjointed and very impersonal… · More experience for the customer.",Finance Technology,Intercom,"$750,000","Aug  1, 2012",A fundamentally new way to communicate with your customers,"$1,000,000","Jan 25, 2012","$6,000,000","Jun  1, 2013","$23,000,000","Jan 22, 2014","$35,000,000","Aug 26, 2015",,,Series A
"Mediaocean develops and provides advertising software and computing services for advertising agencies, media owners, advertisers, television networks and more.",Technology,MediaBank,"$10,500,000","Jul 23, 2007",,,,,,"$30,000,000","Apr 18, 2008",,,,,Series C
"App Monetization. Simplified. Over 120 demand partners, global coverage, and cross-platform support.",App Marketing,Inneractive,"$3,000,000","Aug  7, 2012",,,,,,"$5,000,000","Aug 22, 2010","$6,000,000","Jan 29, 2014",,,Series B
,Semiconductors,Navigenics,"$25,000,000","Nov  7, 2007",,,,,,,,"$18,000,000","Feb  4, 2010",,,-
,Biotechnology,Arcxis-Biotechnologies,"$1,400,000","May 25, 2010",,,,,,"$2,000,000","Oct  1, 2007",,,,,Series B
"Vein Finder, Venipuncture, vein visualization, Vein Illumination - AccuVein. The AccuVein vein finder and vein illumination device can make venipuncture, blood draw, and IV insertion easier and quicker.",Semiconductors,AccuVein,"$8,000,000","Feb  3, 2014",,,,,,"$22,500,000","Jul 28, 2011",,,,,-
,Mobile Games,Peak-Games,,,,"$1,500,000","Dec  1, 2010","$5,000,000","May 25, 2011","$11,500,000","Sep 27, 2011",,,,,Series B
,Web Hosting,Taodangpu,,,,,,"$1,000,000","Sep  1, 2013","$30,000,000","Jun 17, 2014",,,,,Series C
,-,Baihe,,,,,,,,"$9,000,000","May 31, 2006",,,,,Series B
"Mavenlink delivers enterprise-grade Software as a Service (SaaS) that transforms how businesses work with distributed teams, contractors and clients around the globe. Mavenlink's innovative technology suite enables organizations of any size to successfully manage and scale their people, projects, revenue and profitability. Consulting firms, creative agencies and professional services teams in more than 100 countries are running their businesses more efficiently and more elegantly with Mavenlink. Learn more at www.mavenlink.com.Mavenlink has been named 2015 Cool Vendor by Gartner, the… · More world's leading technology research and advisory firm.",Web CMS,Mavenlink,"$2,000,000","Apr 26, 2013",,,,,,,,"$7,000,000","Dec 12, 2013",,,Series D
TaskRabbit is an online and mobile marketplace that helps people live smarter by allowing them to outsource their errands and tasks to fully-vetted people in their community.,,TaskRabbit,,,,"$850,000","Aug 25, 2010","$5,000,000","May  4, 2011","$17,800,000","Dec 13, 2011","$13,000,000","Jul 23, 2012",,,
,Health Care,Checkpoint-Surgical,,,,,,"$1,100,000","Nov 10, 2009","$7,500,000","Jul 28, 2014",,,,,Series A
,Fashion,Idbyme,,,,,,"$2,900,000","Jan  1, 2010","$4,500,000","Jan  1, 2012",,,,,Series A
,Biotechnology,RainTree-Oncology-Services,"$22,800,000","Aug 10, 2012",,,,,,"$11,100,000","Apr 24, 2012",,,,,Series B
,Web Hosting,NearbyNow,"$5,000,000","Apr 24, 2007",,,,"$2,500,000","Jun 20, 2006",,,"$11,750,000","Apr 16, 2009",,,Series A
,Enterprise Software,CYA-Technologies,,,,,,,,"$3,000,000","Aug 23, 2007",,,,,Series B
,Mobile,NextWave-Pharmaceuticals,"$1,800,000","Oct  1, 2012",,,,,,,,"$45,000,000","Jan 11, 2011",,,-
"As a pioneer in marketing technology, we enable differentiated brands to reach the prospects scientifically proven to be primed for their message.",Search Marketing,m6d,,,,"$2,000,000","May  1, 2008","$9,000,000","Aug 14, 2008","$17,000,000","Dec 13, 2010","$24,000,000","Aug 13, 2014",,,
,Ticketing,Motionbox,,,,,,"$4,200,000","Sep  1, 2006","$7,000,000","Dec  1, 2007","$6,000,000","Jan 14, 2009",,,
"CradlePoint is the global leader in 3G/4G cellular network solutions providing mobile broadband network solutions for enterprise branch offices, retail POS, M2M and mobile, remote and temporary offices.",Clean Technology,CradlePoint-Technology,"$1,500,000","Jul 24, 2012",,,,,,"$11,500,000","Apr  8, 2011",,,,,-
,Security,Evogene,"$852,400","Feb 19, 2014",,,,,,"$3,000,000","Nov 17, 2008",,,,,Series B
"ezCater is the only nationwide marketplace for business catering. ezCater’s online ordering, on-time ratings and reviews, and 5-star customer service connect businesspeople to reliable catering for any meeting, anywhere in the United States.",Software,ezCater,"$2,200,000","Oct 10, 2012", The only nationwide marketplace for business catering.,,,"$4,000,000","Apr 15, 2014",,,"$28,000,000","Oct  6, 2015",,,Series C
"Mobilitec offers integrated solutions for mobile operators. Its mPower product is a content platform, which enables operators to publish and handle content, including mobile applications, games, ring tones, music, and videos; deliver new services; and map new content and devices, and deliver it to the right device. The company also provides training, design consulting, integration services, and customer support services.",Creative Industries,Mobilitec,,,Mobile content management and delivery,,,"$2,100,000","May  1, 2000","$11,000,000","Oct 22, 2001","$12,100,000","Feb  7, 2005",,,Series C
,Software,Zmanda,,,,,,"$5,000,000","Jan  1, 2005","$8,000,000","May 22, 2007",,,,,Series A
,Software,RealOps,,,,,,"$5,000,000","Feb 22, 2005","$8,000,000","Apr 26, 2006",,,,,Series A
,-,Mister-Spex,"$20,800,000","May 14, 2013",,,,,,Unknown,"Sep 11, 2010",,,,,Seed
,Biotechnology,ReShape-Medical,"$4,000,000","Jul 11, 2014",,,,"$3,000,000","Aug 31, 2007","$20,000,000","Feb  3, 2009","$15,000,000","Oct 23, 2012",,,Series A
,Semiconductor Manufacturing Equipment,Avelas-Biosciences,,,,,,"$7,700,000","Dec  6, 2012","$6,800,000","Jan  9, 2014",,,,,-
,Big Data Analytics,AdvanDx,"$2,200,000","Oct 29, 2012",,,,,,"$12,000,000","Apr  8, 2014","$8,000,000","Oct 12, 2009",,,Series B
,Search,XAware,"$155,700","Mar 30, 2009",,,,"$2,100,000","Nov  1, 2002","$7,400,000","Jan  1, 2008",,,,,-
,Information Services,Perceptis,"$6,000,000","Sep  9, 2010",,,,,,"$1,500,000","Jun 26, 2013",,,,,-
,Big Data Analytics,Nantero,,,,,,"$6,000,000","Oct  1, 2001","$10,500,000","Sep  1, 2003","$15,000,000","Mar  1, 2005","$10,000,000","Nov 28, 2012",Series C
"A leading payment card solution provider of highly-efficient, on-demand and cost-effective card marketing and production solutions for financial industry.",Ticketing,Arroweye-Solutions,"$3,000,000","Jun 25, 2012",,,,,,,,"$14,000,000","May 22, 2007",,,Seed
"Intent Media unlocks the full revenue potential of online travel companies by delivering innovative, high-margin advertising products powered by advanced analytics and intelligent customer decisioning. Intent Media’s products make travel shopping easier for consumers, increase profit per visitor for partner sites, and provide a huge new source of highly-qualified traffic for travel advertisers.Intent Media powers these ads on sites including Expedia, Orbitz, Travelocity, Hotwire, ebookers, and lastminute.com.  Thousands of performance marketers at airlines, hotels, online travel agencies, and metasearch companies reach travel shoppers every day through Intent… · More Media’s pay-per-click advertising platform. For more information, visit www.intentmedia.com.",Social Business,Intent-Media,"$285,000","Jul 16, 2007",Monetizing retail site traffic w/ predictive personalization & risk-mitigated retail media,,,"$8,000,000","Jul 20, 2009","$20,000,000","Nov  8, 2011","$22,700,000","Jul 21, 2014",,,Series C
,Video on Demand,Legolas-Media,"$1,600,000","Aug 24, 2010",,,,"$5,000,000","Mar 16, 2011","$5,000,000","Mar 24, 2011",,,,,Series B
,E-Commerce,Vinfolio,,,,"$1,500,000","Aug 10, 2007","$4,500,000","Sep  2, 2009","$3,000,000","Aug 10, 2007",,,,,Series A
,Health Care,Innovative-Spinal-Technologies,,,,,,,,,,"$18,000,000","Sep  8, 2008",,,Series C
"At SimpleTuition, our goal is to make it easier for students and their families to afford a higher education. We offer tips, advice, interactive tools, and deals to ensure students plan better for the cost of college, pay less for college-related expenses, and are smarter about how they manage and pay back their student loans.",,SimpleTuition,"$5,000,000","Aug 29, 2012",Making Higher Education Affordable Again,,,"$4,400,000","Apr 14, 2006","$7,500,000","Dec 18, 2006","$6,000,000","Jan  9, 2009","$4,000,000","May 16, 2013",
,Enterprise Software,BEZ-Systems,,,,,,,,"$3,600,000","Jan  5, 2005","$7,500,000","Sep 18, 2006",,,Series B
,Celebrity,Radar-Networks,,,,"$3,000,000","Nov  1, 2009","$5,000,000","Apr  1, 2006","$13,000,000","Feb  1, 2008",,,,,-
,Licensing,Miyowa,,,,,,"$3,900,000","Sep  4, 2006","$7,900,000","May  8, 2008",,,,,Series C
"EAT Club's mission is to make great food available to everyone.  Why wait in line at the best lunch spots around town when you can order via mobile or web and get the same food near your office?Through our mobile and web platforms, customers order freshly-prepared lunches from our hand-selected restaurants. We have developed a unique method of delivering meals to our customers cost-effectively and reliably. We have sold and delivered over two million lunches profitably, and this is just the start.",Real Time,EAT-Club,,,"Great Food, Available to Everyone","$1,500,000","Jun  1, 2011","$5,000,000","Apr  1, 2013","$10,000,000","Jun 28, 2014",,,,,
,,Delphix,,,,,,"$8,500,000","Feb  4, 2009","$11,000,000","Apr  1, 2010","$25,000,000","Jun  6, 2012",,,
"Identity-Based Encryption (IBE) takes a breakthrough approach to the problem of encryption key management. IBE can use any arbitrary string as a public key, enabling data to be protected without the need for certificates.",Health Care,Voltage-Security,"$625,000","Feb 12, 2014",,,,,,,,"$15,000,000","May 17, 2005","$12,000,000","Oct 22, 2007",Series B
,Social Media,WePlay,,,,"$870,000","Jan  1, 2006","$3,500,000","Jul  1, 2007","$8,600,000","Aug  5, 2008",,,,,Series B
,Developer Tools,Acumatica,,,Cloud ERP.,,,,,,,"$10,000,000","Nov 18, 2013",,,Series C
,Hardware + Software,Attune-Systems,"$14,000,000","Nov 14, 2006",,,,,,"$4,000,000","Jun 27, 2006",,,,,Series B
"36Kr(http://36Kr.com) is the NO.1 tech blog in China, while 36Kr+(http://36Kr.net) is the No.1 China TMT fund raising platform.In 2012 (the second year of the company), 36Kr covered about 500 china startups, and 70% of them have a strong growth in users/downloads (details here: http://www.36kr.com/p/200430.html).In 2012, the year before 36Kr+ launched, we helped 23 china startups successfully raised money including Jing.fm etc., then we launched our… · More 36Kr+.We also organize events in China.",Startups,36Kr,,,"""TechCrunch"" & ""Angellist"" of China","$300,000","Mar 18, 2011",Unknown,"May 18, 2012",Unknown,"Jun 24, 2014","$20,000","Feb 10, 2015",,,Series C
,Biotechnology,Rapid-Diagnostek,"$850,000","Aug  1, 2013",,,,,,"$4,000,000","Jan 29, 2010",,,,,Series B
"Cumulus Networks offers a full-featured Linux OS for networking hardware. The first, true Linux operating system for data center networking.",Optimization,Cumulus-Networks,,,,,,"$15,000,000","Aug 20, 2012","$36,000,000","Jan  1, 2014",,,,,Series D
,Biotechnology,TradeBeam,"$7,000,000","Sep 21, 2009",,,,,,,,"$29,000,000","Aug 23, 2007",,,Series A
,Enterprise Software,TriCipher,"$3,000,000","Dec 28, 2009",,,,,,"$10,100,000","Feb 14, 2005","$15,000,000","Feb  6, 2007","$12,000,000","Jan 29, 2009",Series B
,Lighting,LensVector,"$2,200,000","Nov  1, 2013",,,,,,,,"$30,000,000","Feb  4, 2010",,,-
,Software,UpdateLogic,,,,,,,,"$4,000,000","Mar  7, 2006","$11,000,000","Jan  3, 2013",,,Series B
,Semiconductors,Anchor-Semiconductor,,,,,,,,"$7,200,000","Oct  3, 2006",,,,,Series B
,,Vringo,"$2,500,000","Jul 27, 2011",,"$2,982,000","Jan 19, 2010","$2,350,000","Aug  1, 2006","$12,000,000","Jul  1, 2007",,,,,
"Carrier Ethernet Solutions by Overture Networks. Our innovative solutions enable high-capacity Carrier Ethernet services over any media including fiber, copper and TDM.",Hardware + Software,Overture-Networks,"$10,000,000","Jun  4, 2013",,,,,,,,"$7,500,000","Jun  1, 2006","$44,000,000","Mar 21, 2011",-
,,Wordnik,"$3,700,000","Jul  8, 2009",,,,"$1,000,000","Jan  1, 2008",,,"$8,000,000","Jul 25, 2011",,,
,Smart Building,StormWind-Studios,"$4,000,000","Jan 31, 2012",,,,,,,,"$5,000,000","Jan 21, 2014",,,Series B
